airfoil1,NACA0006
airfoil2,NACA0008
airfoil3,NACA000834
airfoil4,NACA0009
airfoil5,NACA0010
airfoil6,NACA001034
airfoil7,NACA001035
airfoil8,NACA001064
airfoil9,NACA001065
airfoil10,NACA001066
airfoil11,NACA0012
airfoil12,NACA001234
airfoil13,NACA001264
airfoil14,NACA0015
airfoil15,NACA0018
airfoil16,NACA0021
airfoil17,NACA0024
airfoil18,NACA1408
airfoil19,NACA1410
airfoil20,NACA1412
airfoil21,NACA16006
airfoil22,NACA16009
airfoil23,NACA16012
airfoil24,NACA16015
airfoil25,NACA16018
airfoil26,NACA16021
airfoil27,NACA23012
airfoil28,NACA23015
airfoil29,NACA23018
airfoil30,NACA23021
airfoil31,NACA23024
airfoil32,NACA2408
airfoil33,NACA2410
airfoil34,NACA2411
airfoil35,NACA2412
airfoil36,NACA2415
airfoil37,NACA2418
airfoil38,NACA2421
airfoil39,NACA2424
airfoil40,NACA4412
airfoil41,NACA4415
airfoil42,NACA4418
airfoil43,NACA4421
airfoil44,NACA4424
airfoil45,NACA63010a
airfoil46,NACA63012a
airfoil47,NACA63015a
airfoil48,NACA631212
airfoil49,NACA631412
airfoil50,NACA63206
airfoil51,NACA63209
airfoil52,NACA63210
airfoil53,NACA632215
airfoil54,NACA632415
airfoil55,NACA632615
airfoil56,NACA632a015
airfoil57,NACA633018
airfoil58,NACA633218
airfoil59,NACA633418
airfoil60,NACA634221
airfoil61,NACA634421
airfoil62,NACA63a210
airfoil63,NACA64008a
airfoil64,NACA6409
airfoil65,NACA641012
airfoil66,NACA641012a
airfoil67,NACA64108
airfoil68,NACA64110
airfoil69,NACA641112
airfoil70,NACA6412
airfoil71,NACA641212
airfoil72,NACA642015
airfoil73,NACA642015a
airfoil74,NACA64206
airfoil75,NACA64208
airfoil76,NACA64209
airfoil77,NACA64210
airfoil78,NACA642215
airfoil79,NACA642415
airfoil80,NACA643218
airfoil81,NACA643418
airfoil82,NACA643618
airfoil83,NACA644221
airfoil84,NACA644421
airfoil85,NACA64a010
airfoil86,NACA64a210
airfoil87,NACA64a410
airfoil88,NACA651212
airfoil89,NACA651212a06
airfoil90,NACA651412
airfoil91,NACA65206
airfoil92,NACA65209
airfoil93,NACA65210
airfoil94,NACA652215
airfoil95,NACA652415
airfoil96,NACA652415a5
airfoil97,NACA653218
airfoil98,NACA653618
airfoil99,NACA65410
airfoil100,NACA654421
airfoil101,NACA654421a05
airfoil102,NACA66018
airfoil103,NACA661212
airfoil104,NACA66206
airfoil105,NACA66210
airfoil106,NACA662215
airfoil107,NACA662415
airfoil108,NACA663218
airfoil109,NACA663418
airfoil110,NACA664021
airfoil111,NACA664221
airfoil112,NACA671215
airfoil113,NACA747a415
airfoil114,RAE100
airfoil115,RAE101
airfoil116,RAE102
airfoil117,RAE103
airfoil118,RAE104
airfoil119,RAE2822
airfoil120,RAE5212
airfoil121,RAE5214
airfoil122,RAE69CK
airfoil123,RAF19
airfoil124,RAF26
airfoil125,RAF28
airfoil126,RAF31
airfoil127,RAF32
airfoil128,RAF33
airfoil129,RAF34
airfoil130,RAF38
airfoil131,RAF48
airfoil132,RAF6
airfoil133,RAF69
