#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.16	6.64	0
1	3	900.34	15.01	0
1	4	850.49	24.59	0
1	5	800.59	34.86	0
1	6	750.64	45.44	0
1	7	700.62	55.94	0
1	8	650.55	65.97	0
1	9	600.42	75.26	0
1	10	550.23	83.51	0
1	11	500	90.45	0
1	12	449.73	95.77	0
1	13	399.43	99.16	0
1	14	349.11	100.3	0
1	15	298.8	98.84	0
1	16	248.5	99.49	0
1	17	198.22	88.42	0
1	18	148.01	78.95	0
1	19	97.88	65.81	0
1	20	72.88	57.28	0
1	21	47.96	46.73	0
1	22	23.19	32.85	0
1	23	10.96	23.19	0
1	24	6.17	17.78	0
1	25	3.82	14.49	0
1	26	0	0	0
1	27	6.18	-13.49	0
1	28	8.83	-16.38	0
1	29	14.04	-21.05	0
1	30	26.81	-29.13	0
1	31	52.04	-40.41	0
1	32	77.12	-48.8	0
1	33	102.12	-55.47	0
1	34	151.99	-65.49	0
1	35	201.78	-72.5	0
1	36	251.5	-77.04	0
1	37	301.2	-79.4	0
1	38	350.89	-79.7	0
1	39	400.57	-77.74	0
1	40	450.27	-73.87	0
1	41	500	-68.39	0
1	42	549.77	-61.61	0
1	43	599.58	-53.84	0
1	44	649.45	-45.37	0
1	45	699.38	-36.5	0
1	46	749.36	-27.54	0
1	47	799.41	-18.94	0
1	48	849.51	-11.13	0
1	49	899.66	-4.67	0
1	50	949.84	-0.32	0
1	0			
